Herat;Herat;Herat is the capital of Herat province in Afghanistan. It is the third largest city of Afghanistan, with a population of about 397,456 as of 2006. It is situated in the valley of the Hari River, which flows from the mountains of central Afghanistan to the Karakum Desert inTurkmenistan. The city is linked with Kandahar and Mazar-e-Sharif via highway 1 or the ring road that stretches across the country. It is also linked to the city of Mashad in Iran through the border town of Islam Qala.;herat.png
Badakhshan;Faizabad;Badakhshan Province is one of the thirty-four provinces of Afghanistan, located in the northeastern part of the country between the Hindu Kush mountains and the Amu Darya River. It is part of a broader historical Badakhshan region. The province contains 22 to 28 districts, over 1,200 villages, and approximately 904,700 people.Feyzabad serves as the provincial capital.;badakhshan.png
Panjshir;Bazarak;"Panjshir literally ""Five Lions"", also spelled as Panjsher) is one of the thirty-four provinces of Afghanistan, located in the northeastern part of the country. The province contains seven districts, 512 villages, and between 146,100 to 300,000 settled and nomadic people.Bazarak serves as the provincial capital.";panjshir.png
Farah;Farah;Farah is one of the thirty-four provinces of Afghanistan, located in the western part of the country next to Iran. It is a spacious and sparsely populated province, divided into eleven_districts and contains hundreds of villages. It has a population of about 925,016, which is multi-ethnic and mostly a rural tribal society. The Farah Airport is located near the city of Farah, which serves as the capital of the province.;farah.png
Ghowr;Chaghcharan;Ghowr or Ghur, is one of the thirty-four provinces of Afghanistan. It is located in central Afghanistan, towards the north-west. The capital of Ghor is Chaghcharan.;ghor.png
Sar-i Pol;Sari-i Pol;Sar-e Pol is one of the thirty-four provinces of Afghanistan, located in the north of the country. It borders Jowzjan and Balkh to the west and north, and Samangan to the east. The province is divided into 7 districts and contains 896 villages. It has a population of about 532,000, which is a multi-ethnic and mostly rural society. The province was created in 1988, with the support of northern Afghan politician Sayed Nasim Mihanparast, and its capital is the city of Sar-e Pol.;sar-e-pol.png
Laghman;Mehtar Lam;Lamghan is one of the 34provinces of Afghanistan. Located in the eastern portion of Afghanistan, its capital is Mihtarlam.;laghman.png
Kabul;Kabul;Kabul also spelled Cabool or Cabul, mostly in historical contexts, is the capital and largest city of Afghanistan. It is also the capital of Kabul Province, located in the eastern section of Afghanistan. According to a 2012 estimate, the population of the city is 3,289,000. Kabul is the 64th largest and the 5th fastest growing city in the world.;kabul.png
Kandahar;Kandahar;Kandahar known in older literature asCandahar, is the second largest city in Afghanistan, with a population of about 512,200 as of 2011.It is the capital of Kandahar Province, located in the south of the country. The Arghandab River runs along the west of the city.;kandahar.png
Nangarhar;Jalalabad;Nangarhar is one of the 34 provinces of Afghanistan in the east of the country. Its capital is the city of Jalalabad. The population of the province is 1,383,900. Wahara means place of prayers and worship which is present in the name of a number of cities as a suffix such as Kandahar, Nangarhar, Binhar, etc. it comes from the Buddhist term for Vihara.;nangarhar.png
Paktia;Gardez;Paktia is one of the thirty-four Provinces of Afghanistan, in the east of the country. Its capital is Gardez.;paktia.png
Balkh;Mazar-e-Sharif;"Balkh was an ancient city and centre of Zoroastrianism in what is northern Afghanistan. Today it is a small town in the province of Balkh, about 20 kilometers northwest of the provincial capital, Mazar-e Sharif, and some 74 km south of the Amu Darya. It was one of the major cities of Khorasan. Marco Polo described Balkh as a ""noble and great city"".";balkh.png
Parwan;Charikar;The ancient city of Balkh was under the Greeks renamed_Bactra, giving its name to_Bactria. It was mostly known as the centre and capital of_Bactria_or_Tokharistan. Balkh is now for the most part a mass of ruins, situated some 12_km from the right bank of the seasonally flowing_Balkh River, at an elevation of about 365 m (1,200_ft).;parwan.png
Helmand;Lashkar Gah;Helmand is one of the 34 provinces of Afghanistan, located in the south of the country. It is one of the largest, covering 58,584 square kilometres area. The province contains 14 districts, encompassing over 1,000s villages, and roughly 1.4 million settled and nomadic people. Lashkar Gah serves as the provincial capital.;helmand.png
